"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 17:28:32 GMT 2024","Wed Jul 17 17:28:33 GMT 2024","1077","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Wed Jul 17 17:28:29 GMT 2024","Wed Jul 17 17:28:31 GMT 2024","1510","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
